Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Instrument]	Parameter Value[Chromatography]	Parameter Value[Ion Source]	Parameter Value[Dissociation]	Parameter Value[Detector]	Parameter Value[Analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Parameter Value[Preprocessed Data Files]	Parameter Value[Processed Data Files]	Parameter Value[Supplemental Materials]
C003_plasma_L-92_CPT	Extraction - Proteomics of blood plasma	C003_plasma_L-92_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C003_L-92.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C003_plasma_L-44_CPT	Extraction - Proteomics of blood plasma	C003_plasma_L-44_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C003_L-44.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C003_plasma_L-3_CPT	Extraction - Proteomics of blood plasma	C003_plasma_L-3_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C003_L-3.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C003_plasma_R+1_CPT	Extraction - Proteomics of blood plasma	C003_plasma_R+1_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C003_R+1.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C003_plasma_R+82_CPT	Extraction - Proteomics of blood plasma	C003_plasma_R+82_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C003_R+82.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C004_plasma_L-92_CPT	Extraction - Proteomics of blood plasma	C004_plasma_L-92_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C004_L-92.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C004_plasma_L-44_CPT	Extraction - Proteomics of blood plasma	C004_plasma_L-44_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C004_L-44.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C004_plasma_L-3_CPT	Extraction - Proteomics of blood plasma	C004_plasma_L-3_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C004_L-3.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C004_plasma_R+1_CPT	Extraction - Proteomics of blood plasma	C004_plasma_R+1_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C004_R+1.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C004_plasma_R+45_CPT	Extraction - Proteomics of blood plasma	C004_plasma_R+45_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C004_R+45.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
C004_plasma_R+82_CPT	Extraction - Proteomics of blood plasma	C004_plasma_R+82_CPT	Mass Spectrometry - Proteomics of blood plasma	Bruker timsTOF Pro-2	Acclaim PepMap 100 C18 (0.3 mm ID x 5 mm) trap column and PharmaFluidics 50 cm µPAC analytical column	CaptiveSpray	PASEF	TOF	dual-TIMS	proteomics	GLDS-563_proteomics_Plasma_Proteomics_I4_C004_R+82.tar	Data Transformation - Proteomics of blood plasma	GLDS-563_proteomics_plasma_proteomics_preprocessed_data.tsv	GLDS-563_proteomics_Plasma_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_plasma_metadata_all_samples_collapsed.csv
