Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C002_plasma_R+45_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C002_plasma_R+45_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Post_C002_R+45_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Post_C002_R+45_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	681211308	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C002_plasma_R+82_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C002_plasma_R+82_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_C002_R+82_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_C002_R+82_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	403788423	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C003_plasma_L-92_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C003_plasma_L-92_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_C003_L-92_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_C003_L-92_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	363776566	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C003_plasma_L-44_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C003_plasma_L-44_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Pre_C003_L-44_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Pre_C003_L-44_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	622876065	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C003_plasma_L-3_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C003_plasma_L-3_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Pre_C003_L-3_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Pre_C003_L-3_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	239459439	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C003_plasma_R+1_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C003_plasma_R+1_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Post_C003_R+1_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Post_C003_R+1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	363622280	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C003_plasma_R+45_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C003_plasma_R+45_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Post_C003_R+45_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Post_C003_R+45_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	745067442	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C003_plasma_R+82_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C003_plasma_R+82_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_C003_R+82_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_C003_R+82_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	382363556	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C004_plasma_L-92_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C004_plasma_L-92_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_C004_L-92_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_C004_L-92_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	357348952	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C004_plasma_L-44_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C004_plasma_L-44_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Pre_C004_L-44_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Pre_C004_L-44_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	662379060	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C004_plasma_L-3_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C004_plasma_L-3_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Pre_C004_L-3_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Pre_C004_L-3_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	655458962	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C004_plasma_R+1_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C004_plasma_R+1_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Post_C004_R+1_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Post_C004_R+1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	351288280	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C004_plasma_R+45_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C004_plasma_R+45_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Post_C004_R+45_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Post_C004_R+45_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	711612080	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C004_plasma_R+82_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C004_plasma_R+82_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_C004_R+82_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_C004_R+82_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	394403606	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
