Sample Name	Protocol REF	Parameter Value[Cell Count]	Parameter Value[Library Layout]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[base caller]	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C002_Tcell_R+194_10000_H3K4me1_ActiveMotif_rep2	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_ActiveMotif_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_ActiveMotif_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	19781585	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me1_ActiveMotif_rep3	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_ActiveMotif_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_ActiveMotif_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	8413	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me1_Invitrogen_rep1	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_Invitrogen_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_Invitrogen_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	5855593	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me1_Invitrogen_rep2	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_Invitrogen_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_Invitrogen_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	5008795	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me1_Invitrogen_rep3	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_Invitrogen_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_Invitrogen_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	3145780	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me3_EpiCypher_rep1	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me3_EpiCypher_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me3_EpiCypher_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	4062244	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me3_EpiCypher_rep2	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me3_EpiCypher_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me3_EpiCypher_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	29488157	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me3_EpiCypher_rep3	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me3_EpiCypher_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me3_EpiCypher_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	10170005	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_IgG_EpiCypher_rep1	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_IGG_EpiCypher_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_IGG_EpiCypher_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	2895927	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_IgG_EpiCypher_rep2	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_IGG_EpiCypher_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_IGG_EpiCypher_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	6005100	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_IgG_EpiCypher_rep3	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_IGG_EpiCypher_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_IGG_EpiCypher_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	15556164	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K27ac_Abcam_rep1	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_Abcam_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_Abcam_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	13610318	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K27ac_Abcam_rep2	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_Abcam_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_Abcam_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	22113091	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K27ac_Abcam_rep3	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_Abcam_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_Abcam_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	11170969	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K27ac_ActiveMotif_rep1	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_ActiveMotif_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_ActiveMotif_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	10978221	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K27ac_ActiveMotif_rep2	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_ActiveMotif_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_ActiveMotif_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	3161125	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K27ac_ActiveMotif_rep3	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_ActiveMotif_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_ActiveMotif_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	19274149	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K4me1_EpiCypher_rep1	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_EpiCypher_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_EpiCypher_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	7032663	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K4me1_EpiCypher_rep2	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_EpiCypher_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_EpiCypher_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	18057909	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K4me1_EpiCypher_rep3	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_EpiCypher_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_EpiCypher_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	3355570	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K4me1_ActiveMotif_rep1	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_ActiveMotif_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_ActiveMotif_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	6942	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K4me1_ActiveMotif_rep2	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_ActiveMotif_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_ActiveMotif_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	5077787	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K4me1_ActiveMotif_rep3	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_ActiveMotif_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_ActiveMotif_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	26910766	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K4me1_Invitrogen_rep1	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_Invitrogen_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_Invitrogen_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	315071	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K4me1_Invitrogen_rep2	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_Invitrogen_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_Invitrogen_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	16991157	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_5000_H3K4me1_Invitrogen_rep3	Library Construction	5000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_Invitrogen_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_Invitrogen_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	28719815	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
