Source Name	Sample Name	Characteristics[Original Submitted Sample Names]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Input Cell Count]	Factor Value[Histone Modification Target]	Term Source REF	Term Accession Number	Factor Value[Vendor]	Protocol REF	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
C002	C002_Tcell_R+194_10000_IgG_EpiCypher_rep1	Tcell_CutNRun_I4_C002_R+194_10K_IGG_EpiCypher_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	10000	IgG	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C568	EpiCypher/13-0042	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_10000_IgG_EpiCypher_rep2	Tcell_CutNRun_I4_C002_R+194_10K_IGG_EpiCypher_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	10000	IgG	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C568	EpiCypher/13-0042	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_10000_IgG_EpiCypher_rep3	Tcell_CutNRun_I4_C002_R+194_10K_IGG_EpiCypher_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	10000	IgG	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C568	EpiCypher/13-0042	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K27ac_Abcam_rep1	Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_Abcam_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K27ac	OSD	https://osdr.nasa.gov/	Abcam/ab245911	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K27ac_Abcam_rep2	Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_Abcam_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K27ac	OSD	https://osdr.nasa.gov/	Abcam/ab245911	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K27ac_Abcam_rep3	Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_Abcam_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K27ac	OSD	https://osdr.nasa.gov/	Abcam/ab245911	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K27ac_ActiveMotif_rep1	Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_ActiveMotif_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K27ac	OSD	https://osdr.nasa.gov/	ActiveMotif/39034	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K27ac_ActiveMotif_rep2	Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_ActiveMotif_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K27ac	OSD	https://osdr.nasa.gov/	ActiveMotif/39034	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K27ac_ActiveMotif_rep3	Tcell_CutNRun_I4_C002_R+194_5K_H3K27ac_ActiveMotif_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K27ac	OSD	https://osdr.nasa.gov/	ActiveMotif/39034	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K4me1_EpiCypher_rep1	Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_EpiCypher_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K4me1	OSD	https://osdr.nasa.gov/	EpiCypher/13-0040	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K4me1_EpiCypher_rep2	Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_EpiCypher_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K4me1	OSD	https://osdr.nasa.gov/	EpiCypher/13-0040	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K4me1_EpiCypher_rep3	Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_EpiCypher_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K4me1	OSD	https://osdr.nasa.gov/	EpiCypher/13-0040	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K4me1_ActiveMotif_rep1	Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_ActiveMotif_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K4me1	OSD	https://osdr.nasa.gov/	ActiveMotif/39635	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K4me1_ActiveMotif_rep2	Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_ActiveMotif_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K4me1	OSD	https://osdr.nasa.gov/	ActiveMotif/39635	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Tcell_R+194_5000_H3K4me1_ActiveMotif_rep3	Tcell_CutNRun_I4_C002_R+194_5K_H3K4me1_ActiveMotif_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	T cell	EFO	http://purl.obolibrary.org/obo/CL_0000084	post-flight	OSD	https://osdr.nasa.gov/	5000	H3K4me1	OSD	https://osdr.nasa.gov/	ActiveMotif/39635	Treatment Protocol	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Return plus 194	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Cell Isolation	Freezing Media (10% DMSO(10%)/90% FBS solution)			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
