Source Name	Sample Name	Comment[Original Submitted Sample Name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Factor Value[Sample Location]	Protocol REF	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
G-Meter Button	I4_Capsule_L-44_9	G-Meter_Button_Swab_L-44_9	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	G-Meter Button	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Open Air Control	I4_Capsule_L-92_0	Open_Air_Control_Swab_L-92_0	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Open Air Control	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Execute Button	I4_Capsule_L-92_1	Execute_Button_Swab_L-92_1	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Execute Button	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Viewing Dome	I4_Capsule_L-92_2	Viewing_Dome_Swab_L-92_2	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Viewing Dome	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Side Hatch Mobility Aid	I4_Capsule_L-92_3	Side_Hatch_Mobility_Aid_Swab_L-92_3	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Side Hatch Mobility Aid	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Lid of Waste Locker	I4_Capsule_L-92_4	Lid_of_Waste_Locker_Swab_L-92_4	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Lid of Waste Locker	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Seat 2	I4_Capsule_L-92_5	Seat_2_Swab_L-92_5	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seat 2	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Commode Panel	I4_Capsule_L-92_6	Commode_Panel_Swab_L-92_6	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Commode Panel	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Control Touch Screen - Left	I4_Capsule_L-92_7	Control_Touch_Screen_Left_Swab_L-92_7	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Control Touch Screen - Left	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Control Touch Screen - Right	I4_Capsule_L-92_8	Control_Touch_Screen_Right_Swab_L-92_8	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Control Touch Screen - Right	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G-Meter Button	I4_Capsule_L-92_9	G-Meter_Button_Swab_L-92_9	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 92	day	UO	http://purl.obolibrary.org/obo/UO_0000033	G-Meter Button	Treatment protocol	Sample Collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
