Sample Name	Protocol REF	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C003_RBC-pellet_R+1	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C003_R+1_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C003_R+1_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	20962563	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C004_RBC-pellet_R+1	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C004_R+1_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C004_R+1_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	15045480	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C001_RBC-pellet_R+45	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C001_R+45_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C001_R+45_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	23392091	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C002_RBC-pellet_R+45	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C002_R+45_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C002_R+45_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	14427350	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C003_RBC-pellet_R+45	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C003_R+45_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C003_R+45_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	19362050	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C004_RBC-pellet_R+45	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C004_R+45_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C004_R+45_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	10337885	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C001_RBC-pellet_R+82	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C001_R+82_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C001_R+82_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	17463643	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C002_RBC-pellet_R+82	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C002_R+82_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C002_R+82_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	10463965	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C003_RBC-pellet_R+82	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C003_R+82_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C003_R+82_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	16660703	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C004_RBC-pellet_R+82	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C004_R+82_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C004_R+82_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	11860893	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C001_RBC-pellet_R+194	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C001_R+194_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C001_R+194_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	21054973	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C002_RBC-pellet_R+194	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C002_R+194_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C002_R+194_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	13426609	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C003_RBC-pellet_R+194	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C003_R+194_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C003_R+194_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	11177398	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C004_RBC-pellet_R+194	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C004_R+194_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C004_R+194_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	13522010	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
