Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Host Strain]	Characteristics[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Factor Value[Age]	Unit	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Euthanasia Location]	Factor Value[Dissection Condition]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Diet]	Parameter Value[Feeding Schedule]	Parameter Value[light cycle]	Parameter Value[habitat]	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[RFID]	Comment[Time between landing to euthanasia (day)]	Parameter Value[Carcass Preservation Method]	Comment[ALSDA Biospecimen ID]
BL_ISS_11	RRRM1_FCS_BSL_ISS-T_YNG_BI11	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2A043D7B	Not Applicable	-80C freezer	115753
BL_ISS_12	RRRM1_FCS_BSL_ISS-T_YNG_BI12	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2943384F	Not Applicable	-80C freezer	115752
BL_ISS_13	RRRM1_FCS_BSL_ISS-T_YNG_BI13	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E27137F17	Not Applicable	-80C freezer	115751
BL_ISS_14	RRRM1_FCS_BSL_ISS-T_YNG_BI14	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E28480B65	Not Applicable	-80C freezer	115750
BL_ISS_15	RRRM1_FCS_BSL_ISS-T_YNG_BI15	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2A154E10	Not Applicable	-80C freezer	115749
BL_ISS_16	RRRM1_FCS_BSL_ISS-T_YNG_BI16	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2A22191E	Not Applicable	-80C freezer	115748
BL_ISS_17	RRRM1_FCS_BSL_ISS-T_YNG_BI17	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2701186B	Not Applicable	-80C freezer	115747
BL_ISS_18	RRRM1_FCS_BSL_ISS-T_YNG_BI18	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E292A1E57	Not Applicable	-80C freezer	115746
BL_ISS_19	RRRM1_FCS_BSL_ISS-T_YNG_BI19	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E276F0A6B	Not Applicable	-80C freezer	115745
BL_ISS_20	RRRM1_FCS_BSL_ISS-T_YNG_BI20	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2830515D	Not Applicable	-80C freezer	115744
BL_LAR_01	RRRM1_FCS_BSL_LAR_YNG_BL1	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2754395E	2	Not Applicable	61215
BL_LAR_02	RRRM1_FCS_BSL_LAR_YNG_BL2	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E290D086F	2	Not Applicable	61216
