Sample Name	Protocol REF	Extract Name	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Parameter Value[QA Instrument]	Parameter Value[gDNA fragment size]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Batch Number]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[Human Reads Removed]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Host Contamination]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[MultiQC File Names]
RRRM1_FCS_BSL_ISS-T_YNG_BI11	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI11	Agilent gDNA ScreenTape Assay	7	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	11586	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	583	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI11_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI11_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	9077981	read	SO	http://purl.obolibrary.org/obo/SO_0000150	23.34	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	78.65	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_YNG_BI12	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI12	Agilent gDNA ScreenTape Assay	6.4	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	15517	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	661	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI12_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI12_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12015353	read	SO	http://purl.obolibrary.org/obo/SO_0000150	19.12	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	57.01	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_YNG_BI13	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI13	Agilent gDNA ScreenTape Assay	6.8	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	12393	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	669	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-067	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI13_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI13_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	9635171	read	SO	http://purl.obolibrary.org/obo/SO_0000150	25.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	87.27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_YNG_BI14	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI14	Agilent gDNA ScreenTape Assay	6.7	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	12687	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	594	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI14_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI14_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	13257268	read	SO	http://purl.obolibrary.org/obo/SO_0000150	23.97	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	84.4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_YNG_BI15	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI15	Agilent gDNA ScreenTape Assay	7.2	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	13741	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	637	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI15_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI15_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12084213	read	SO	http://purl.obolibrary.org/obo/SO_0000150	26.88	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	93.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_YNG_BI16	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI16	Agilent gDNA ScreenTape Assay	7.8	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	14395	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	590	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI16_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI16_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	9792538	read	SO	http://purl.obolibrary.org/obo/SO_0000150	25.66	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	88.64	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_YNG_BI17	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI17	Agilent gDNA ScreenTape Assay	7.1	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	12268	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	691	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-067	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI17_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI17_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	10195987	read	SO	http://purl.obolibrary.org/obo/SO_0000150	26.41	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	95.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_YNG_BI18	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI18	Agilent gDNA ScreenTape Assay	7.3	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	13580	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	653	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-067	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI18_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI18_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	11832325	read	SO	http://purl.obolibrary.org/obo/SO_0000150	26.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	96.84	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_YNG_BI19	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI19	Agilent gDNA ScreenTape Assay	7.7	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	13968	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	612	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI19_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI19_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	9587990	read	SO	http://purl.obolibrary.org/obo/SO_0000150	28.69	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	96.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_YNG_BI20	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_YNG_BI20	Agilent gDNA ScreenTape Assay	6.9	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	15905	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	601	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI20_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_YNG_BI20_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12880658	read	SO	http://purl.obolibrary.org/obo/SO_0000150	26.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	88.77	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_YNG_BL1	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_YNG_BL1	Agilent gDNA ScreenTape Assay	6.3	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	13387	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	556	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-063	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL1_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL1_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	10701669	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	3.01	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
