Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[cell type]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Characteristics[Study Subject]	Protocol REF	Protocol REF	Parameter Value[Treatment duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number
11	367412	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
12	367413	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
13	367414	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
14	367415	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
15	367416	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
17	367417	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
18	367418	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
19	367419	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
21	367420	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
22	367421	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
23	367422	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
24	367423	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
25	367424	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
26	367425	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
27	367426	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
28	367427	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
29	367428	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
30	367429	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
31	367430	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
32	367431	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
33	367432	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
34	367433	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
35	367434	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
36	367435	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
37	367436	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
38	367437	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
39	367438	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
40	367439	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
41	367440	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
42	367441	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
43	367442	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
