Sample Name	Protocol REF	Protocol REF	Parameter Value[Sample Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Nucleus Count]	Parameter Value[Library Selection]	Term Source REF	Term Accession Number	Parameter Value[Library Layout]	Term Source REF	Term Accession Number	Parameter Value[Library QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[Library QA Assay]	Term Source REF	Term Accession Number	Parameter Value[Average Library Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Kit]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[R1 Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[R2 Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[R3 Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Processed Data Files]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C002_PBMC_R+45	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	576	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	1267	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C002_R+45_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_R+45_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_R+45_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	352664422	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C002_PBMC_R+82	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	9191	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	548	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C002_R+82_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_R+82_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_R+82_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	251879641	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C003_PBMC_L-92	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	6032	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	863	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C003_L-92_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_L-92_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_L-92_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	2215007618	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C003_PBMC_L-44	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	20000	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	575	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C003_L-44_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_L-44_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_L-44_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	685460275	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C003_PBMC_L-3	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1206	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	1059	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C003_L-3_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_L-3_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_L-3_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	219919701	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C003_PBMC_R+1	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1553	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	802	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C003_R+1_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_R+1_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_R+1_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	277528475	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C003_PBMC_R+45	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	527	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	1189	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C003_R+45_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_R+45_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_R+45_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	367297591	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C003_PBMC_R+82	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	12623	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	633	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C003_R+82_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_R+82_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C003_R+82_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	381270101	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C004_PBMC_L-92	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	5179	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	831	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C004_L-92_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_L-92_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_L-92_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	1434878445	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C004_PBMC_L-44	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	14667	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	623	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C004_L-44_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_L-44_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_L-44_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	710481419	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C004_PBMC_L-3	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	3562	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	1296	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C004_L-3_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_L-3_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_L-3_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	244476570	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C004_PBMC_R+1	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1752	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	575	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C004_R+1_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_R+1_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_R+1_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	217714943	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C004_PBMC_R+45	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	806	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	1096	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C004_R+45_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_R+45_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_R+45_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	359409692	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C004_PBMC_R+82	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	14450	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	642	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C004_R+82_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_R+82_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C004_R+82_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	452150632	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
